Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,0.6137338876724243,0.688443660736084,0.7799999713897705,0.6790579557418823
2,0.7968526482582092,0.6741271615028381,0.8333333134651184,0.6647683382034302
3,0.818311870098114,0.6609304547309875,0.8600000143051147,0.6508013010025024
4,0.8412017226219177,0.6479937434196472,0.8666666746139526,0.6381650567054749
5,0.8540772795677185,0.6356287598609924,0.8666666746139526,0.6262707710266113
6,0.8755365014076233,0.6237963438034058,0.8733333349227905,0.6151416897773743
7,0.9127324819564819,0.6123985648155212,0.8999999761581421,0.6047664284706116
8,0.915593683719635,0.6011722683906555,0.8999999761581421,0.5947461128234863
9,0.9184549450874329,0.5903761982917786,0.8933333158493042,0.5854315161705017
10,0.9170243144035339,0.5797716379165649,0.8933333158493042,0.5766061544418335
11,0.915593683719635,0.5695806741714478,0.8933333158493042,0.5685067772865295
12,0.915593683719635,0.5596799254417419,0.8933333158493042,0.5607801079750061
13,0.915593683719635,0.5502074360847473,0.8933333158493042,0.553561270236969
14,0.9170243144035339,0.5408376455307007,0.8866666555404663,0.5468114018440247
15,0.9141631126403809,0.5321271419525146,0.8866666555404663,0.540472149848938
16,0.9141631126403809,0.5235874056816101,0.8866666555404663,0.534558892250061
17,0.9184549450874329,0.5154769420623779,0.8866666555404663,0.5291880369186401
18,0.9184549450874329,0.5078656077384949,0.8866666555404663,0.5238571763038635
19,0.9170243144035339,0.5004599690437317,0.8866666555404663,0.5189899206161499
20,0.9170243144035339,0.49331215023994446,0.8933333158493042,0.5144751071929932
21,0.915593683719635,0.4866198003292084,0.8933333158493042,0.5100963711738586
22,0.9127324819564819,0.4802292287349701,0.8933333158493042,0.5057421326637268
23,0.911301851272583,0.47403809428215027,0.8933333158493042,0.5016193389892578
24,0.911301851272583,0.46821439266204834,0.8933333158493042,0.4978450536727905
25,0.9141631126403809,0.4625861942768097,0.8933333158493042,0.49413204193115234
26,0.9141631126403809,0.4573722183704376,0.8933333158493042,0.49052104353904724
27,0.9141631126403809,0.4523715376853943,0.8933333158493042,0.4872954785823822
28,0.9141631126403809,0.44761693477630615,0.8933333158493042,0.48400360345840454
29,0.9127324819564819,0.44304415583610535,0.8933333158493042,0.4807489514350891
30,0.9127324819564819,0.4388422966003418,0.8933333158493042,0.47773101925849915
31,0.9141631126403809,0.4348243772983551,0.8933333158493042,0.4748263657093048
32,0.9141631126403809,0.4310525059700012,0.8999999761581421,0.47192254662513733
33,0.911301851272583,0.4273974299430847,0.8999999761581421,0.46931400895118713
34,0.911301851272583,0.42401036620140076,0.8999999761581421,0.4664407968521118
35,0.911301851272583,0.42072704434394836,0.8999999761581421,0.4642654359340668
36,0.911301851272583,0.4177646338939667,0.8999999761581421,0.46191397309303284
37,0.911301851272583,0.41481858491897583,0.8999999761581421,0.45952096581459045
38,0.911301851272583,0.41208282113075256,0.8999999761581421,0.45714864134788513
39,0.911301851272583,0.40938085317611694,0.8999999761581421,0.4550197422504425
40,0.911301851272583,0.4069385528564453,0.8999999761581421,0.4528277516365051
41,0.9098712205886841,0.4046260714530945,0.8999999761581421,0.4506537914276123
42,0.911301851272583,0.40240198373794556,0.8999999761581421,0.4485867917537689
43,0.9098712205886841,0.40021660923957825,0.8999999761581421,0.4468171298503876
44,0.911301851272583,0.39819344878196716,0.8999999761581421,0.444907009601593
45,0.911301851272583,0.3962790369987488,0.8999999761581421,0.4430724084377289
46,0.911301851272583,0.3945443034172058,0.8999999761581421,0.4411408007144928
47,0.911301851272583,0.39281702041625977,0.8999999761581421,0.43949025869369507
48,0.9127324819564819,0.3912224769592285,0.8999999761581421,0.4380057156085968
49,0.9127324819564819,0.3896201550960541,0.8999999761581421,0.4363936483860016
50,0.9127324819564819,0.38808897137641907,0.9066666960716248,0.43468570709228516
51,0.9127324819564819,0.3865947723388672,0.9066666960716248,0.4332246482372284
52,0.9127324819564819,0.38517501950263977,0.9066666960716248,0.43195679783821106
53,0.9127324819564819,0.38383057713508606,0.9066666960716248,0.4304902255535126
54,0.9127324819564819,0.3825497627258301,0.9066666960716248,0.4290708899497986
55,0.9127324819564819,0.3813595771789551,0.9066666960716248,0.42807698249816895
56,0.9127324819564819,0.3802056312561035,0.9066666960716248,0.42656975984573364
57,0.9127324819564819,0.3790677785873413,0.9066666960716248,0.4251881241798401
58,0.9127324819564819,0.37800922989845276,0.9066666960716248,0.4243640601634979
59,0.9127324819564819,0.3769143521785736,0.9066666960716248,0.4231503903865814
60,0.9141631126403809,0.3758943974971771,0.9066666960716248,0.42206624150276184
61,0.915593683719635,0.37498021125793457,0.9066666960716248,0.4209449887275696
62,0.915593683719635,0.37405702471733093,0.9066666960716248,0.42034199833869934
63,0.915593683719635,0.37313327193260193,0.9066666960716248,0.41930654644966125
64,0.915593683719635,0.37229058146476746,0.9066666960716248,0.4180237352848053
65,0.915593683719635,0.37145158648490906,0.9066666960716248,0.41701802611351013
66,0.9141631126403809,0.37066978216171265,0.9066666960716248,0.416086882352829
67,0.9141631126403809,0.36989739537239075,0.9066666960716248,0.4153705835342407
68,0.915593683719635,0.36932435631752014,0.9066666960716248,0.4141729772090912
69,0.915593683719635,0.3684339225292206,0.9066666960716248,0.41352665424346924
70,0.915593683719635,0.3677736222743988,0.9066666960716248,0.41279420256614685
71,0.915593683719635,0.36715245246887207,0.9066666960716248,0.4123263657093048
72,0.915593683719635,0.3665194809436798,0.9066666960716248,0.4115854501724243
73,0.915593683719635,0.36589157581329346,0.9066666960716248,0.4108477830886841
74,0.915593683719635,0.3653427064418793,0.9066666960716248,0.40992915630340576
75,0.915593683719635,0.3647417724132538,0.9066666960716248,0.4094054698944092
76,0.915593683719635,0.3642905652523041,0.9066666960716248,0.40912967920303345
77,0.915593683719635,0.36373746395111084,0.9066666960716248,0.4085138440132141
78,0.915593683719635,0.3632393479347229,0.9066666960716248,0.4080568850040436
79,0.915593683719635,0.36276453733444214,0.9066666960716248,0.4074164927005768
80,0.915593683719635,0.36228758096694946,0.9066666960716248,0.4067361056804657
81,0.915593683719635,0.36184534430503845,0.9066666960716248,0.4061354994773865
82,0.915593683719635,0.3613770306110382,0.9066666960716248,0.4057070016860962
83,0.915593683719635,0.361135333776474,0.9066666960716248,0.4055459201335907
84,0.915593683719635,0.3605787456035614,0.9066666960716248,0.4046306610107422
85,0.915593683719635,0.36021262407302856,0.9066666960716248,0.4043157994747162
86,0.915593683719635,0.359813392162323,0.9066666960716248,0.40397390723228455
87,0.915593683719635,0.3594534993171692,0.9066666960716248,0.4036092460155487
88,0.915593683719635,0.3591258227825165,0.9066666960716248,0.4032144546508789
89,0.915593683719635,0.3588099181652069,0.9066666960716248,0.4030221104621887
90,0.915593683719635,0.3584996461868286,0.9066666960716248,0.40243279933929443
91,0.915593683719635,0.3581782579421997,0.9066666960716248,0.40209802985191345
92,0.915593683719635,0.3578735589981079,0.9066666960716248,0.40165814757347107
93,0.915593683719635,0.35756248235702515,0.9066666960716248,0.4013441503047943
94,0.915593683719635,0.3573751747608185,0.9066666960716248,0.4010763168334961
95,0.915593683719635,0.3570871949195862,0.9066666960716248,0.40096744894981384
96,0.915593683719635,0.35684359073638916,0.9066666960716248,0.4006071388721466
97,0.915593683719635,0.35658150911331177,0.9066666960716248,0.4002484083175659
98,0.915593683719635,0.3563345968723297,0.9066666960716248,0.4000033140182495
99,0.915593683719635,0.356245756149292,0.9066666960716248,0.3999651074409485
100,0.915593683719635,0.3559008836746216,0.9066666960716248,0.39949825406074524
